Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_per_Capita,HDI_Score,HDI_Category
72.97,8.38,10.93,4341.89,0.6468,Medium
66.62,6.71,11.07,4821.74,0.6064,Medium
74.48,8.37,11.27,76865.48,0.7917,High
83.23,9.63,13.09,9903.89,0.7732,High
65.66,8.15,15.49,21636.35,0.7371,High
65.66,8.12,14.8,4487.72,0.6505,Medium
83.79,5.89,7.29,4537.57,0.6089,Medium
75.67,6.01,11.67,29201.78,0.7277,High
63.31,3.79,9.41,2566.82,0.5023,Low
73.43,13.25,14.95,6534.08,0.7633,High
63.37,4.27,9.91,10239.7,0.5796,Medium
63.34,5.92,13.0,11063.12,0.6421,Medium
70.42,5.84,7.6,8274.28,0.5944,Medium
48.87,10.68,12.85,14703.19,0.6204,Medium
50.75,7.12,13.15,19788.49,0.6106,Medium
62.38,11.74,16.29,20632.8,0.7623,High
57.87,5.98,11.08,3693.01,0.5441,Low
71.14,8.84,13.52,7449.07,0.7002,High
58.92,5.49,10.28,32687.99,0.626,Medium
53.88,14.44,15.78,24213.05,0.7352,High
82.66,4.44,10.53,2507.75,0.5912,Medium
65.74,8.93,15.27,14065.49,0.724,High
68.68,9.9,13.44,1368.92,0.5927,Medium
53.75,9.24,13.15,10372.72,0.6259,Medium
62.56,7.44,8.38,66023.57,0.6759,Medium
69.11,7.61,12.64,3835.7,0.6314,Medium
56.49,8.13,13.28,4297.02,0.5887,Medium
71.76,7.56,11.43,21248.25,0.7161,High
61.99,10.89,17.14,2115.82,0.6299,Medium
65.08,14.63,17.96,5256.63,0.7426,High
61.98,6.33,11.46,17969.68,0.6447,Medium
85.0,3.89,5.85,5248.59,0.5592,Medium
67.87,7.74,11.69,7816.8,0.6561,Medium
57.42,15.0,18.65,20830.75,0.7744,High
76.23,5.59,10.04,15086.36,0.6731,Medium
55.79,12.92,16.18,12923.7,0.7086,High
70.09,13.03,16.77,7050.67,0.764,High
48.4,6.34,11.99,14329.29,0.563,Medium
54.72,9.71,12.83,8745.26,0.626,Medium
69.97,12.89,13.67,15643.42,0.7802,High
75.38,6.86,14.36,6021.36,0.6918,Medium
69.71,7.39,14.15,8245.57,0.6882,Medium
66.84,6.25,7.67,3677.7,0.549,Low
64.99,4.96,10.34,9556.65,0.5996,Medium
53.21,6.05,9.05,4398.41,0.5096,Low
60.8,4.33,8.86,3248.52,0.505,Low
63.39,8.1,12.69,12818.71,0.6729,Medium
78.57,5.69,9.22,12243.37,0.6632,Medium
71.44,8.7,11.13,21652.45,0.7276,High
50.37,3.33,5.95,6430.93,0.4331,Low
71.24,8.99,11.16,14884.16,0.7135,High
64.15,10.5,12.84,17167.92,0.7199,High
61.23,2.02,5.88,15440.88,0.4812,Low
74.12,9.12,11.69,4334.43,0.668,Medium
78.31,11.68,17.05,11491.51,0.8217,Very High
77.31,4.37,11.35,14244.7,0.6727,Medium
59.61,13.02,15.86,9968.43,0.7182,High
64.91,9.26,13.74,1228.47,0.5653,Medium
71.31,5.88,10.88,11620.08,0.6563,Medium
77.76,7.83,12.78,90000.0,0.818,Very High
63.21,9.67,13.83,6904.72,0.6698,Medium
66.14,8.23,13.71,4778.7,0.6477,Medium
56.94,9.62,14.58,14376.48,0.6764,Medium
56.04,5.24,6.76,13526.12,0.5301,Low
76.13,8.51,14.25,32621.77,0.8004,Very High
81.56,3.76,9.53,2813.35,0.5711,Medium
67.28,7.67,10.14,20565.71,0.68,Medium
78.04,5.29,9.36,17861.84,0.6733,Medium
71.62,5.79,11.16,8585.7,0.6453,Medium
61.55,11.71,15.29,13886.71,0.7295,High
71.61,11.27,17.42,27707.47,0.8339,Very High
83.38,9.83,18.56,23678.33,0.8789,Very High
67.64,4.72,7.15,3155.75,0.5144,Low
83.65,7.05,8.29,22474.98,0.7196,High
41.8,11.64,16.25,9277.17,0.5775,Medium
76.22,8.43,13.87,10645.3,0.7406,High
68.87,14.96,18.5,10648.74,0.8093,Very High
65.01,9.18,16.09,8516.47,0.7047,High
68.92,8.58,9.9,32588.26,0.7172,High
48.12,7.07,12.46,9102.3,0.5556,Medium
65.8,8.4,11.19,3230.7,0.6024,Medium
71.57,7.54,14.98,6677.31,0.6953,Medium
82.78,10.12,18.11,11833.56,0.8365,Very High
62.82,10.87,13.34,33833.77,0.7517,High
59.92,5.64,8.54,18089.64,0.5897,Medium
62.98,4.01,9.73,4227.92,0.5325,Low
77.15,2.49,5.72,90000.0,0.5969,Medium
71.29,9.52,13.43,12897.33,0.7368,High
62.7,4.69,8.74,35432.71,0.6149,Medium
73.13,1.54,1.7,8503.95,0.3783,Low
68.97,9.17,13.14,16871.13,0.7314,High
77.69,15.0,17.62,22913.2,0.8966,Very High
60.98,7.98,11.0,33462.97,0.6814,Medium
64.72,10.52,17.4,28491.71,0.7883,High
64.08,8.25,9.73,23675.52,0.6734,Medium
53.36,7.7,13.33,7222.19,0.5926,Medium
70.96,10.76,14.2,5587.31,0.7106,High
70.61,7.13,10.57,13802.53,0.6752,Medium
68.05,8.8,14.38,25162.95,0.7535,High
65.65,8.97,13.65,7921.05,0.68,Medium
53.85,6.0,11.14,28714.92,0.6097,Medium
63.79,10.98,16.91,42303.15,0.8012,Very High
64.57,7.48,10.81,3958.73,0.5938,Medium
59.98,5.73,8.51,4285.87,0.5304,Low
66.39,9.61,11.44,8600.92,0.6742,Medium
72.04,5.3,7.65,13461.82,0.6135,Medium
85.0,8.08,17.98,5857.24,0.779,High
69.75,7.97,14.46,38261.62,0.7713,High
70.58,11.26,12.56,15124.43,0.7531,High
67.26,9.42,10.78,10295.34,0.6784,Medium
48.81,7.92,12.89,2354.52,0.5087,Low
67.73,10.45,15.55,2654.96,0.6572,Medium
68.6,12.17,17.27,13108.41,0.7871,High
85.0,9.67,13.16,1173.1,0.6349,Medium
66.08,8.03,11.78,27245.33,0.7095,High
71.02,4.06,8.72,8449.36,0.5835,Medium
67.65,4.8,8.98,90000.0,0.6696,Medium
56.31,7.08,6.65,90000.0,0.6172,Medium
79.43,6.17,9.71,8254.81,0.6618,Medium
75.52,7.44,9.74,8898.72,0.6696,Medium
75.91,8.17,12.52,26784.58,0.7666,High
58.91,9.59,19.56,54348.52,0.7891,High
82.03,7.79,12.52,1923.63,0.6374,Medium
53.98,9.46,12.83,1658.43,0.5301,Low
73.87,8.19,14.04,5313.28,0.6909,Medium
85.0,2.07,7.04,17725.11,0.5915,Medium
58.09,5.18,10.02,16266.67,0.5881,Medium
62.34,7.57,12.78,28847.29,0.6969,Medium
69.0,4.37,12.48,2981.86,0.5753,Medium
62.97,9.8,11.54,976.38,0.5281,Low
52.49,12.59,17.54,23342.11,0.7201,High
68.69,11.66,13.8,4323.43,0.6903,Medium
57.38,7.36,12.47,1314.9,0.5097,Low
72.74,12.47,14.63,11442.2,0.7817,High
58.81,8.45,11.61,21876.66,0.6646,Medium
83.5,6.99,10.4,8759.93,0.701,High
60.17,6.16,12.11,6261.35,0.5936,Medium
64.78,7.09,12.93,8439.16,0.6502,Medium
76.14,6.84,8.34,6832.3,0.6327,Medium
55.69,8.51,12.62,2570.75,0.5549,Medium
70.27,8.48,11.06,4843.14,0.6443,Medium
81.07,8.01,9.49,16668.57,0.7277,High
51.93,9.31,12.88,13652.51,0.6246,Medium
69.85,11.57,14.95,11708.38,0.7618,High
70.6,10.85,19.7,3658.66,0.7273,High
75.82,3.55,8.41,8254.36,0.5862,Medium
55.63,0.34,1.58,1122.08,0.2228,Low
54.8,10.8,13.67,11830.98,0.6585,Medium
73.22,3.9,9.94,41309.91,0.6713,Medium
70.97,7.33,15.5,2266.22,0.6295,Medium
70.5,4.49,5.32,5508.64,0.5192,Low
71.46,2.59,2.83,13754.3,0.4599,Low
61.2,9.62,17.37,34642.71,0.7661,High
70.32,10.28,15.06,6321.9,0.7172,High
70.93,6.27,8.53,4953.0,0.5906,Medium
60.86,0.23,5.3,1381.71,0.3379,Low
85.0,6.36,5.09,10975.69,0.6307,Medium
72.74,9.18,13.18,76273.13,0.817,Very High
56.09,3.56,8.22,13060.64,0.5215,Low
74.57,8.55,14.4,9679.07,0.7351,High
58.25,7.95,9.93,13658.02,0.6183,Medium
75.87,9.74,13.91,9787.96,0.7507,High
79.59,8.36,10.51,4389.57,0.6685,Medium
59.79,5.08,9.59,22545.26,0.6022,Medium
77.63,11.59,13.8,12403.84,0.7921,High
72.13,7.52,10.71,10072.99,0.6741,Medium
76.22,7.92,9.93,3731.76,0.6343,Medium
85.0,5.2,10.5,36443.12,0.7455,High
65.55,6.67,12.39,19239.15,0.6806,Medium
60.46,5.35,8.88,5693.49,0.5445,Low
59.1,7.48,11.56,26952.33,0.662,Medium
59.84,13.14,14.24,6017.51,0.6812,Medium
67.23,3.88,7.28,4527.82,0.5178,Low
71.41,3.16,7.06,4629.93,0.5169,Low
70.77,12.41,20.0,1684.01,0.6861,Medium
76.27,7.37,9.15,15859.79,0.6919,Medium
68.13,5.99,12.92,1585.82,0.5569,Medium
82.54,11.12,17.11,2897.36,0.7452,High
65.35,6.18,10.74,1241.92,0.5117,Low
85.0,13.48,20.0,9080.92,0.8798,Very High
74.26,10.03,14.78,8515.81,0.7474,High
59.43,6.54,11.31,7138.83,0.5926,Medium
57.29,14.47,18.37,3489.18,0.6735,Medium
72.82,6.18,12.63,3064.89,0.6162,Medium
65.77,10.23,16.42,15746.44,0.7541,High
75.14,8.9,11.65,5707.0,0.685,Medium
72.73,11.91,13.27,13580.07,0.7723,High
67.27,12.68,16.28,4083.67,0.7091,High
59.53,8.1,10.5,11861.61,0.6269,Medium
52.85,5.74,9.61,36434.74,0.591,Medium
63.53,9.38,15.85,17785.98,0.7336,High
76.56,5.97,9.05,6552.4,0.6279,Medium
70.14,14.04,17.95,12799.98,0.8176,Very High
55.54,8.41,12.53,7780.18,0.6091,Medium
69.73,6.9,12.6,9975.43,0.6758,Medium
71.85,8.55,8.06,7146.58,0.6398,Medium
59.16,3.96,6.75,8397.29,0.505,Low
69.54,5.09,9.51,12235.46,0.6214,Medium
68.58,11.6,18.0,3665.21,0.7117,High
56.57,6.03,9.05,3583.59,0.5162,Low
71.58,4.86,5.11,2468.73,0.4888,Low
73.61,9.61,14.85,1997.65,0.649,Medium
78.83,11.56,14.29,2929.88,0.7121,High
78.54,10.16,11.78,11608.15,0.7551,High
54.22,10.99,13.74,4053.0,0.6039,Medium
58.62,5.73,9.36,16541.28,0.5913,Medium
73.15,3.73,6.53,10246.73,0.5592,Medium
73.14,12.5,12.09,1382.29,0.625,Medium
73.15,7.03,12.83,19052.92,0.7262,High
85.0,7.25,13.8,22265.61,0.7991,High
73.71,11.98,17.29,3663.36,0.734,High
79.36,9.67,11.39,15065.94,0.7617,High
77.54,9.37,12.96,4202.78,0.6953,Medium
74.51,14.5,18.48,10912.57,0.8399,Very High
64.85,6.07,11.27,2794.76,0.5634,Medium
75.59,10.78,16.12,1647.3,0.6636,Medium
60.27,8.17,10.7,6749.22,0.6078,Medium
65.63,8.81,12.97,8745.29,0.6768,Medium
